iter	Passed	Remaining
0	2	29067
1	5	28580
2	8	27565
3	11	27533
4	13	26907
5	16	26795
6	18	26710
7	21	26760
8	23	26613
9	26	26570
10	29	26481
11	31	26347
12	34	26348
13	36	26231
14	39	26129
15	41	26019
16	44	25954
17	46	25798
18	48	25638
19	51	25583
20	53	25501
21	56	25610
22	59	25605
23	61	25490
24	63	25331
25	65	25234
26	68	25215
27	70	25139
28	72	25090
29	75	25022
30	77	24988
31	80	24937
32	82	24889
33	84	24835
34	87	24806
35	89	24704
36	91	24651
37	93	24600
38	96	24568
39	98	24524
40	100	24502
41	103	24432
42	104	24295
43	106	24193
44	108	24087
45	111	24026
46	113	23946
47	115	23876
48	117	23812
49	119	23727
50	121	23673
51	123	23621
52	125	23564
53	127	23486
54	129	23417
55	131	23397
56	133	23326
57	135	23259
58	137	23198
59	139	23125
60	141	23073
61	143	23005
62	145	22975
63	147	22948
64	149	22916
65	151	22867
66	154	22858
67	156	22826
68	158	22772
69	160	22719
70	162	22656
71	163	22596
72	165	22549
73	167	22495
74	169	22441
75	171	22402
76	173	22351
77	175	22315
78	177	22271
79	179	22224
80	181	22195
81	183	22163
82	185	22117
83	186	22074
84	188	22025
85	190	21995
86	192	21953
87	194	21921
88	196	21898
89	198	21868
90	200	21836
91	202	21801
92	204	21786
93	206	21756
94	208	21722
95	210	21684
96	212	21650
97	213	21618
98	215	21593
99	218	21596
100	220	21591
101	222	21602
102	224	21581
103	226	21569
104	228	21565
105	230	21553
106	232	21537
107	234	21517
108	237	21507
109	239	21496
110	241	21474
111	242	21441
112	245	21444
113	247	21431
114	249	21415
115	250	21383
116	252	21358
117	254	21343
118	256	21328
119	258	21307
120	260	21298
121	262	21279
122	264	21263
123	266	21248
124	268	21234
125	270	21221
126	272	21192
127	274	21180
128	276	21165
129	278	21158
130	280	21146
131	282	21136
132	284	21129
133	286	21122
134	288	21114
135	290	21098
136	292	21081
137	294	21076
138	296	21059
139	298	21049
140	300	21033
141	302	21015
142	304	20996
143	306	20979
144	308	20967
145	310	20955
146	312	20940
147	314	20925
148	316	20914
149	318	20902
150	320	20893
151	322	20879
152	324	20875
153	326	20859
154	328	20842
155	330	20825
156	332	20816
157	334	20806
158	336	20801
159	338	20798
160	340	20786
161	342	20780
162	344	20770
163	346	20754
164	348	20746
165	349	20731
166	352	20726
167	354	20718
168	355	20707
169	357	20700
170	359	20690
171	361	20681
172	363	20672
173	365	20666
174	368	20663
175	370	20657
176	372	20650
177	373	20636
178	376	20633
179	378	20642
180	380	20637
181	382	20625
182	384	20618
183	386	20616
184	388	20619
185	390	20615
186	392	20607
187	394	20596
188	396	20597
189	398	20594
190	400	20581
191	402	20578
192	405	20579
193	406	20569
194	408	20554
195	410	20544
196	412	20534
197	414	20529
198	416	20523
199	418	20521
200	420	20518
201	422	20513
202	424	20500
203	426	20483
204	428	20473
205	430	20468
206	432	20455
207	434	20451
208	436	20442
209	438	20431
210	440	20426
211	442	20413
212	444	20401
213	445	20384
214	447	20376
215	449	20362
216	451	20353
217	453	20344
218	455	20336
219	457	20324
220	459	20313
221	460	20299
222	462	20284
223	464	20278
224	466	20270
225	468	20261
226	470	20262
227	472	20254
228	474	20246
229	476	20237
230	478	20228
231	480	20221
232	482	20214
233	484	20208
234	486	20201
235	488	20194
236	489	20183
237	492	20181
238	493	20168
239	495	20158
240	497	20154
241	499	20146
242	501	20145
243	503	20138
244	505	20128
245	507	20120
246	509	20108
247	511	20099
248	513	20094
249	515	20085
250	517	20087
251	519	20081
252	520	20070
253	522	20060
254	524	20051
255	526	20043
256	528	20041
257	530	20040
258	532	20014
259	533	20003
260	535	19995
261	537	19985
262	539	19978
263	541	19973
264	543	19964
265	545	19957
266	547	19951
267	549	19948
268	551	19940
269	553	19933
270	555	19925
271	557	19922
272	558	19916
273	560	19912
274	563	19912
275	564	19904
276	566	19900
277	568	19890
278	570	19887
279	572	19884
280	574	19880
281	576	19871
282	578	19863
283	580	19856
284	582	19853
285	584	19845
286	586	19837
287	588	19834
288	590	19836
289	592	19840
290	594	19835
291	596	19831
292	598	19830
293	600	19824
294	602	19821
295	604	19817
296	606	19813
297	608	19811
298	610	19804
299	612	19805
300	614	19808
301	616	19808
302	618	19801
303	620	19795
304	622	19799
305	624	19798
306	626	19795
307	628	19786
308	630	19782
309	632	19774
310	634	19770
311	636	19762
312	638	19757
313	640	19752
314	642	19746
315	644	19739
316	645	19732
317	647	19724
318	649	19721
319	651	19716
320	653	19711
321	655	19704
322	657	19699
323	659	19694
324	661	19684
